nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Jo Malone London,Cologne Discovery Collection Set,Rp 375.000,"
        (221)
      ",
Kylie Cosmetics,Cosmic 2.0 Eau De Parfum,Rp 990.000,"
        (32)
      ","
        4 sizes
      "
Armani Beauty,Acqua Di Gio Profondo Eau De Parfum,Rp 1.550.000,"
        (1)
      ","
        2 sizes
      "
Jo Malone London,Peony & Blush Suede Cologne,Rp 500.000,"
        (1244)
      ","
        4 sizes
      "
Versace,Bright Crystal Ovetto Eau De Toilette,Rp 420.000,"
        (2163)
      ",
Jo Malone London,Raspberry Ripple Cologne (Limited Edition),Rp 1.525.000,"
        (9)
      ","
        3 sizes
      "
DIOR,J’adore Eau de Parfum Women’s Fragrance - Solar and Floral Notes,Rp 1.850.000,"
        (3480)
      ","
        3 sizes
      "
Tom Ford Beauty,Soleil Blanc Eau De Parfum,Rp 5.490.000,"
        (1559)
      ","
        3 sizes
      "
Billie Eilish,Your Turn Eau De Parfum,Rp 1.510.000,"
        (5)
      ","
        2 sizes
      "
Sol de Janeiro,Beija Flor Jet Set,Rp 685.000,"
        (901)
      ",
Kayali,Vanilla Mini Duo (Limited Edition),Rp 590.000,"
        (1)
      ",
Kylie Cosmetics,Cosmic Kylie Jenner Eau de Parfum,Rp 1.150.000,"
        (247)
      ","
        4 sizes
      "
Billie Eilish,Eilish No.2 Eau De Parfum,Rp 924.000,"
        (110)
      ","
        4 sizes
      "
Rare Beauty,Find Comfort Mini Lotion & Fragrance Set,Rp 396.600,"
        (177)
      ",
HERMÈS,Twilly d'Hermes Eau de Parfum,Rp 1.385.000,"
        (279)
      ",
Billie Eilish,Eilish Eau De Parfum,Rp 995.000,"
        (1079)
      ","
        4 sizes
      "
Burberry Beauty,Her Eau De Parfum,Rp 600.000,"
        (1523)
      ","
        4 sizes
      "
Jean Paul Gaultier,Le Male Elixir Absolu,Rp 3.450.000,"
        (179)
      ","
        2 sizes
      "
DIOR,Sauvage Eau De Parfum,Rp 2.600.000,"
        (1282)
      ","
        2 sizes
      "
Burberry Beauty,Her Eau De Parfum Intense,Rp 1.944.000,"
        (620)
      ","
        2 sizes
      "
DIOR,Sauvage Eau De Toilette,Rp 2.200.000,"
        (1322)
      ","
        3 sizes
      "
Burberry Beauty,My Burberry Blush Eau De Parfum,Rp 3.330.000,"
        (370)
      ","
        2 sizes
      "
HERMÈS,Twilly d'Hermes Eau Poivree Eau de Parfum,Rp 2.060.000,"
        (72)
      ","
        3 sizes
      "
Armani Beauty,My Way Eau De Parfum Spring Set,Rp 2.950.000,"
        (3)
      ",
Versace,Eros Men Eau de Toilette,Rp 324.000,"
        (630)
      ","
        2 sizes
      "
Yves Saint Laurent,Libre Hair Mist,Rp 1.100.000,"
        (9)
      ",
Yves Saint Laurent,Libre Eau De Parfum,Rp 3.250.000,"
        (4148)
      ","
        2 sizes
      "
Kylie Cosmetics,2-Pc. Cosmic Kylie Jenner Eau de Parfum Gift Set,Rp 850.000,,
DIOR,Miss Dior Rose N'Roses,Rp 2.000.000,"
        (1505)
      ","
        2 sizes
      "
Sol de Janeiro,Cheirosa 62 Perfume Mist,Rp 839.000,"
        (895)
      ","
        2 sizes
      "
HERMÈS,Un Jardin Sur Le Nil Eau De Toilette,Rp 1.285.000,"
        (219)
      ","
        2 sizes
      "
Marc Jacobs Fragrances,Daisy Eau So Fresh Eau De Toilette,Rp 450.000,"
        (1504)
      ","
        2 sizes
      "
DIOR,New Miss Dior Blooming Bouquet Eau De Toilette,Rp 1.400.000,"
        (321)
      ","
        3 sizes
      "
Armani Beauty,Sì Eau De Parfum Intense,Rp 3.270.000,"
        (82)
      ","
        2 sizes
      "
Sol de Janeiro,Cheirosa Perfume Mist Discovery Set (Limited Edition),Rp 755.000,"
        (42)
      ",
Jo Malone London,Frangipani Flower Cologne,Rp 565.000,"
        (851)
      ","
        3 sizes
      "
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Carolina Herrera,Good Girl Blush Eau De Parfum,Rp 2.500.000,"
        (479)
      ","
        2 sizes
      "
Versace,Eros Parfum,Rp 2.462.000,"
        (60)
      ",
Sol de Janeiro,Bum Bum Summer Jet Set,Rp 685.000,"
        (2063)
      ",
DIOR,J'adore Eau De Parfum Infinissime,Rp 3.750.000,"
        (71)
      ","
        3 sizes
      "
Tom Ford Beauty,Black Orchid Eau De Parfum,Rp 2.050.000,"
        (2065)
      ","
        3 sizes
      "
Lancôme,IDÔLE 100ml Eye Look Set,Rp 2.890.000,"
        (2)
      ",
DIOR,J’adore Les Adorables Body Milk ,Rp 1.350.000,"
        (8)
      ",
Chloé,Eau De Parfum,Rp 1.480.000,"
        (206)
      ","
        3 sizes
      "
Lancôme,Idôle Power Eau De Parfum Intense,Rp 2.850.000,"
        (6)
      ","
        3 sizes
      "
Yves Saint Laurent,MYSLF L'Absolu,Rp 3.300.000,"
        (1469)
      ","
        2 sizes
      "
DIOR,J'adore Roller-Pearl Eau De Parfum Infinissime,Rp 1.350.000,"
        (79)
      ",
Carolina Herrera,Good Girl Eau De Parfum,Rp 2.300.000,"
        (1090)
      ","
        4 sizes
      "
HERMÈS,Jour d'Hermes Absolu Eau de Parfum,Rp 2.505.000,"
        (28)
      ","
        3 sizes
      "
GIVENCHY,Gentleman Réserve Privée Eau de Parfum,Rp 1.690.000,"
        (330)
      ","
        2 sizes
      "
Lancôme,Idôle Eau de Parfum,Rp 1.120.000,"
        (241)
      ","
        3 sizes
      "
HERMÈS,Eau des Merveilles Eau de Toilette,Rp 2.155.000,"
        (103)
      ","
        2 sizes
      "
GIVENCHY,Gentleman Givenchy Eau de Parfum,Rp 1.690.000,"
        (23)
      ","
        2 sizes
      "
Versace,Pour Homme Eau de Toilette,Rp 1.801.000,"
        (451)
      ","
        3 sizes
      "
Moschino,Toy 2 Bubble Gum Eau de Toilette,Rp 378.000,"
        (102)
      ","
        4 sizes
      "
Armani Beauty,My Way Eau De Parfum Intense,Rp 3.120.000,"
        (1010)
      ",
GIVENCHY,Irresistible Eau De Toilette Fraiche,Rp 1.275.000,"
        (239)
      ","
        3 sizes
      "
Armani Beauty,My Way Le Parfum,Rp 2.255.000,"
        (220)
      ",
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,"
        (669)
      ","
        2 sizes
      "
Lancôme,Miracle Eau De Parfum,Rp 2.390.000,"
        (38)
      ",
Jean Paul Gaultier,Scandal Absolu Parfum Concentré,Rp 2.485.000,"
        (3)
      ",
Kayali,Déjà Vu White Flower | 57 Eau de Parfum,Rp 1.980.000,"
        (267)
      ","
        3 sizes
      "
GUERLAIN,Aqua Allegoria Florabloom Forte Eau de Parfum,Rp 2.370.000,"
        (3)
      ",
Tom Ford Beauty,Bitter Peach Eau De Parfum,Rp 2.100.000,"
        (923)
      ","
        2 sizes
      "
Sol de Janeiro,Cheirosa 71 Perfume Mist,Rp 535.000,"
        (1505)
      ","
        2 sizes
      "
Kayali,Oudgasm Miniature Set,Rp 2.325.000,,
Tom Ford Beauty,Rose Prick Eau De Parfum,Rp 2.100.000,"
        (976)
      ","
        2 sizes
      "
Sol de Janeiro,Cheirosa 87 Perfume Mist,Rp 535.000,"
        (1352)
      ","
        2 sizes
      "
Tom Ford Beauty,Oud Wood Eau De Parfum,Rp 3.550.000,"
        (1753)
      ","
        3 sizes
      "
MCM,MCM Collection Mini Set,Rp 1.550.000,,
Armani Beauty,My Way Ylang Eau De Parfum,Rp 2.850.000,"
        (957)
      ",
Moschino,Toy 2 Spring 2025 Gift Set,Rp 1.801.000,"
        (1)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Kayali,Yum Duo Set (Limited Edition),Rp 2.250.000,"
        (3)
      ",
Rare Beauty,Awaken Confidence Body Fragrance Mist,Rp 610.000,"
        (1015)
      ",
DIOR,Miss Dior Rose N'Roses Eau De Toilette,Rp 1.400.000,"
        (61)
      ",
Coach,For Woman Eau de Parfum,Rp 1.460.000,"
        (89)
      ","
        2 sizes
      "
GIVENCHY,Irresistible Hair Mist,Rp 790.000,"
        (25)
      ",
OUAI,Wanna Get A OUAI (Travel Kit),Rp 689.000,"
        (47)
      ",
Yves Saint Laurent,Y Le Parfum (2025),Rp 3.150.000,"
        (1496)
      ",
Coach,Platinum Eau de Parfum,Rp 1.425.000,"
        (35)
      ",
Lancôme,La Vie Est Belle Eau De Parfum,Rp 2.690.000,"
        (1002)
      ","
        2 sizes
      "
Jean Paul Gaultier,Scandal Eau de Parfum,Rp 1.165.000,"
        (19)
      ","
        4 sizes
      "
Coach,Dreams Sunset Eau De Parfum,Rp 1.460.000,"
        (90)
      ","
        2 sizes
      "
Kate Spade,Chérie Eau De Parfum,Rp 2.000.000,"
        (49)
      ","
        2 sizes
      "
Kayali,Eden Juicy Apple | 01 Eau De Parfum,Rp 620.000,"
        (1464)
      ","
        3 sizes
      "
Jo Malone London,Velvet Rose & Oud Cologne Intense,Rp 2.815.000,"
        (211)
      ","
        3 sizes
      "
Armani Beauty,My Way Eau de Parfum Nectar,Rp 2.850.000,"
        (656)
      ",
Armani Beauty,Sì Passione Intense Eau de Parfum,Rp 3.270.000,"
        (20)
      ",
Armani Beauty,ARMANI PRIVE SUMMER MOMENTS SET,Rp 3.900.000,"
        (7)
      ",
Sol de Janeiro,Cheirosa 68 Perfume Mist,Rp 839.000,"
        (3347)
      ","
        2 sizes
      "
Sol de Janeiro,Cheirosa 48 Perfume Mist,Rp 535.000,"
        (41)
      ","
        2 sizes
      "
DIOR,Miss Dior Parfum Roller,Rp 1.300.000,"
        (1840)
      ",
Jean Paul Gaultier,Gaultier Divine Eau De Parfum,Rp 2.300.000,"
        (203)
      ",
Jo Malone London,Scarlet Poppy Cologne Intense Travel Spray,Rp 620.000,,
Jo Malone London,Scarlet Poppy Cologne Intense,Rp 3.975.000,"
        (294)
      ","
        2 sizes
      "
DIOR,Miss Dior Roller Pearl Blooming Bouquet,Rp 1.050.000,"
        (636)
      ",
Yves Saint Laurent,Y Eau de Parfum,Rp 2.750.000,"
        (3051)
      ","
        2 sizes
      "
HERMÈS,Terre D'Hermes Eau De Parfum Intense,Rp 720.000,"
        (183)
      ","
        3 sizes
      "
FRESH,Rose Morning Eau de Parfum,Rp 420.000,"
        (55)
      ","
        3 sizes
      "
DIOR,Sauvage Parfum,Rp 2.250.000,"
        (769)
      ","
        3 types
      "
Versace,Bright Crystal Absolu Eau de Parfum,Rp 2.162.000,"
        (463)
      ",
Carolina Herrera,Very Good Girl Eau De Parfum,Rp 2.500.000,"
        (376)
      ","
        2 sizes
      "
DIOR,Sauvage Elixir,Rp 4.300.000,"
        (1282)
      ","
        2 sizes
      "
Jean Paul Gaultier,Scandal Pour Homme Eau De Toilette,Rp 1.950.000,"
        (11)
      ","
        3 sizes
      "
GIVENCHY,Gentleman Eau De Toilette,Rp 1.570.000,"
        (5)
      ","
        2 sizes
      "
Jo Malone London,Nectarine Blossom & Honey Cologne,Rp 500.000,"
        (1021)
      ","
        4 sizes
      "
DIOR,J’adore Parfum d'Eau Eau De Parfum,Rp 3.500.000,"
        (1448)
      ","
        3 sizes
      "
HERMÈS,Twilly Eau Ginger Eau De Parfum,Rp 2.850.000,"
        (261)
      ","
        2 sizes
      "
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
MCM,MCM Eau de Parfum,Rp 1.650.000,"
        (33)
      ","
        4 sizes
      "
Lancôme,Idôle Now Eau De Parfum,Rp 2.790.000,"
        (28)
      ","
        2 sizes
      "
Jo Malone London,Cologne Intense Collection,Rp 2.750.000,,
Kayali,Utopia Vanilla Coco | 21 Eau de Parfum Intense,Rp 2.950.000,"
        (610)
      ","
        3 sizes
      "
Jo Malone London,English Pear & Freesia Cologne,Rp 2.885.000,"
        (1374)
      ","
        4 sizes
      "
Versace,Pour Femme Dylan Purple Eau de Parfum,Rp 2.162.000,"
        (111)
      ","
        3 sizes
      "
GIVENCHY,L'Interdit Eau De Parfum Hair Mist ,Rp 790.000,"
        (14)
      ",
Armani Beauty,Indigo Tanzanite Eau De Parfum,Rp 5.550.000,,
Coach,Coach New York Love Eau De Parfum,Rp 945.000,"
        (68)
      ","
        3 sizes
      "
DIOR,J’adore L’or Essence de Parfum,Rp 2.900.000,"
        (1395)
      ","
        2 sizes
      "
Chloé,Atelier Des Fleurs Cedrus Eau De Parfum,Rp 3.800.000,"
        (30)
      ","
        2 sizes
      "
Dolce&Gabbana,New Light Blue Capri In Love Eau De Parfum,Rp 2.550.000,"
        (336)
      ","
        2 sizes
      "
Kayali,Yummy Kiss Set,Rp 750.000,"
        (50)
      ",
Tom Ford Beauty,Neroli Portofino Eau De Parfum,Rp 1.450.000,"
        (667)
      ","
        2 sizes
      "
Sol de Janeiro,Cheirosa 59 Perfume Mist,Rp 535.000,"
        (2381)
      ","
        2 sizes
      "
MCM,MCM Collection Mighty Bear,Rp 2.680.000,"
        (1)
      ",
Yves Saint Laurent,Libre Le Parfum,Rp 3.575.000,"
        (1080)
      ","
        2 sizes
      "
Ferragamo,Signorina Eleganza Eau de Parfum,Rp 2.350.000,"
        (4)
      ",
Ferragamo,Signorina Eau De Parfum,Rp 2.350.000,"
        (12)
      ","
        2 sizes
      "
GUERLAIN,Aqua Allegoria Flora Cherrysia Eau De Toilette,Rp 2.061.000,"
        (41)
      ",
HERMÈS,Terre d'Hermes Eau de Toilette,Rp 2.290.000,"
        (301)
      ","
        2 sizes
      "
Coach,For Woman Eau de Toilette,Rp 1.830.000,"
        (106)
      ","
        2 sizes
      "
HUGO BOSS,Hugo Just Different Eau De Toilette,Rp 1.900.000,,"
        2 sizes
      "
Marc Jacobs Fragrances,Perfect Intense Eau de Parfum,Rp 2.775.000,"
        (566)
      ",
Dolce&Gabbana,Dolce Eau de Parfum,Rp 2.055.000,"
        (1)
      ",
GIVENCHY,Irresistible Eau de Parfum,Rp 1.565.000,"
        (677)
      ","
        4 sizes
      "
Juliette Has a Gun,Vanilla Vibes Eau De Parfum,Rp 2.780.000,"
        (501)
      ",
Dolce&Gabbana,Light Blue Eau de Toilette,Rp 1.860.000,"
        (47)
      ",
Marc Jacobs Fragrances,Daisy Eau de Toilette ,Rp 1.400.000,"
        (2885)
      ","
        2 types
      "
GUERLAIN,Aqua Allegoria Pamplelune Eau De Toilette,Rp 2.061.000,"
        (27)
      ",
OUAI,North Bondi Eau De Parfum,Rp 1.398.000,"
        (449)
      ","
        2 sizes
      "
Marc Jacobs Fragrances,Perfect Eau De Parfum,Rp 2.553.000,"
        (1288)
      ","
        3 sizes
      "
Versace,Dylan Blue Pour Femme Eau de Parfum,Rp 2.162.000,"
        (85)
      ",
Gucci Beauty,Gucci Bloom Profumo Di Fiori Eau De Parfum,Rp 3.200.000,"
        (654)
      ","
        2 sizes
      "
Gucci Beauty,Gucci Guilty Absolute Pour Homme Eau De Parfum,Rp 2.700.000,"
        (39)
      ","
        2 sizes
      "
Burberry Beauty,London for Women Eau De Parfum,Rp 2.798.000,"
        (268)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
HUGO BOSS,Alive Eau De Parfum,Rp 2.600.000,"
        (8)
      ","
        3 sizes
      "
MCM,Crush Eau De Parfum,Rp 1.650.000,"
        (7)
      ","
        3 sizes
      "
Narciso Rodriguez,For Him Bleu Noir Parfum,Rp 2.700.000,"
        (5)
      ","
        2 sizes
      "
DIOR,J'Adore Eau de Parfum Roller Pearl,Rp 1.250.000,"
        (111)
      ",
Rabanne,Olympea Solar Intense Eau De Parfum,Rp 2.200.000,"
        (22)
      ",
Carolina Herrera,Bad Boy Cobalt Eau De Parfum Électrique,Rp 2.000.000,"
        (256)
      ","
        3 sizes
      "
HERMÈS,Hermes Terre d'Hermes Eau Intense Vetiver Eau De Parfum,Rp 1.910.000,"
        (2)
      ",
Dolce&Gabbana,Dolce Garden Eau de Parfum,Rp 1.950.000,"
        (210)
      ",
GIVENCHY,Gentleman Givenchy Eau de Toilette Intense,Rp 2.145.000,"
        (319)
      ","
        2 sizes
      "
HERMÈS,L'Ombre des Merveilles Eau De Parfum,Rp 2.350.000,,"
        3 sizes
      "
Dolce&Gabbana,The Only One Eau de Parfum Intense,Rp 2.650.000,"
        (1)
      ",
Dolce&Gabbana,Dolce Peony Eau de Parfum,Rp 1.950.000,"
        (26)
      ",
DIOR,Miss Dior Rose N'Roses Eau de Toilette Roller Pearl,Rp 1.050.000,"
        (147)
      ",
Rabanne,Phantom Eau De Toilette,Rp 1.350.000,"
        (186)
      ","
        2 sizes
      "
Dolce&Gabbana,The One Gold Eau de Parfum Intense,Rp 2.530.000,"
        (2)
      ",
Michael Kors,Sexy Amber Eau De Parfum,Rp 1.583.000,"
        (3)
      ","
        2 sizes
      "
Ferragamo,Foreste Di Seta Eau De Parfum,Rp 1.900.000,,"
        2 sizes
      "
Jo Malone London,Blackberry & Bay Cologne,Rp 2.885.000,"
        (179)
      ","
        2 sizes
      "
Gucci Beauty,Gucci Flora Gorgeous Magnolia Eau De Parfum,Rp 3.200.000,"
        (695)
      ","
        3 sizes
      "
Narciso Rodriguez,Hair Mist,Rp 1.070.000,"
        (1)
      ",
L'Atelier Parfum,Leather Black (K)Night Eau De Parfum,Rp 1.415.700,"
        (2)
      ","
        2 sizes
      "
HERMÈS,H24 Eau De Parfum,Rp 2.595.000,"
        (162)
      ","
        2 sizes
      "
MCM,MCM Eau de Parfum Necklace Set,Rp 1.280.000,"
        (1)
      ",
HERMÈS,Terre D'Hermès Eau Givrée Eau De Parfum,Rp 2.595.000,"
        (53)
      ","
        2 sizes
      "
Gucci Beauty,Gucci Bloom Ambrosia Di Fiori Eau De Parfum,Rp 3.450.000,"
        (330)
      ","
        2 sizes
      "
Dolce&Gabbana,Dolce Lily Eau de Toilette,Rp 1.760.000,"
        (337)
      ",
Juliette Has a Gun,Lipstick Fever Eau De Parfum,Rp 2.780.000,"
        (49)
      ",
HERMÈS,Voyage d'Hermès Pure Perfume,Rp 2.060.000,"
        (3)
      ",
L'Atelier Parfum,Rose Coup Foudre,Rp 2.290.000,"
        (15)
      ","
        3 types
      "
Jo Malone London,Myrrh & Tonka Cologne Intense,Rp 575.000,"
        (383)
      ","
        3 sizes
      "
Jo Malone London,Wood Sage & Sea Salt Cologne,Rp 500.000,"
        (1508)
      ","
        4 sizes
      "
HERMÈS,Un Jardin À Cythère Eau De Toilette,Rp 1.850.000,"
        (220)
      ","
        2 sizes
      "
FRESH,Sugar Lychee Eau De Parfum,Rp 1.950.000,"
        (2)
      ","
        3 sizes
      "
Gucci Beauty,Gucci Guilty Elixir De Parfum Pour Homme,Rp 3.000.000,"
        (410)
      ",
Jo Malone London,Wild Bluebell Cologne,Rp 2.885.000,"
        (360)
      ","
        3 sizes
      "
