nama_toko,nama_produk,harga_produk,jumlah_review,banyak_ukuran
BVLGARI,Pour Homme Eau De Toilette,Rp 2.280.000,"
        (6)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Armani Beauty,Code Le Parfum,Rp 2.510.000,"
        (267)
      ",
Versace,Eros Pour Femme Eau de Parfum,Rp 2.282.000,"
        (278)
      ",
Marc Jacobs Fragrances,Perfect Eau de Toilette,Rp 2.553.000,"
        (367)
      ","
        3 sizes
      "
Armani Beauty,Si Passione Éclat Eau De Parfum,Rp 3.000.000,"
        (82)
      ",
Jo Malone London,Lime Basil & Mandarin Cologne,Rp 2.885.000,"
        (168)
      ","
        3 sizes
      "
Bon Parfumeur,"106 Damascena Rose, Davana, Vanilla EDP",Rp 975.000,"
        (3)
      ","
        3 sizes
      "
Bon Parfumeur,"903 Nepalese Berries, Saffron, Oud EDP",Rp 1.400.000,,"
        2 sizes
      "
Ferragamo,Bright Leather Men Eau De Toilette,Rp 1.950.000,"
        (2)
      ","
        3 sizes
      "
DIOR,Miss Dior Parfum,Rp 2.600.000,"
        (63)
      ","
        2 sizes
      "
Burberry Beauty,Her Eau De Toilette,Rp 2.975.000,"
        (514)
      ","
        2 sizes
      "
L'Atelier Parfum,Coeur De Petales,Rp 1.590.000,"
        (24)
      ","
        3 sizes
      "
Narciso Rodriguez,All Of Me Eau De Parfum,Rp 2.250.000,"
        (4)
      ","
        3 sizes
      "
Bon Parfumeur,"601 Vetiver, Cedar, Bergamot EDP",Rp 975.000,"
        (4)
      ","
        3 sizes
      "
DIOR,Miss Dior Blooming Bouquet Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,Rp 1.250.000,"
        (472)
      ",
Lancôme,Idôle Nectar Eau de Parfum,Rp 1.990.000,"
        (7)
      ","
        3 types
      "
FRESH,Citron De Vigne Eau De Parfum,Rp 1.950.000,"
        (6)
      ","
        3 sizes
      "
Jo Malone London,English Pear & Freesia Home Candle,Rp 1.450.000,"
        (25)
      ",
DIOR,Miss Dior Eau De Parfum Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,Rp 1.500.000,"
        (453)
      ",
Kayali,Oudgasm Café Oud | 19 Eau De Parfum Intense,Rp 2.500.000,"
        (293)
      ","
        2 sizes
      "
L'Atelier Parfum,Dose Of Rose Eau De Parfum,Rp 1.415.700,"
        (6)
      ","
        2 sizes
      "
Armani Beauty,Sì Eau De Parfum Intense Spring Set,Rp 2.450.000,"
        (1)
      ",
L'Atelier Parfum,Tobacco Volute Eau De Parfum,Rp 1.415.700,"
        (9)
      ","
        2 sizes
      "
L'Atelier Parfum,Hot Splash Eau De Parfum,Rp 2.290.000,"
        (5)
      ","
        3 sizes
      "
Bon Parfumeur,"301 Amber, Cardamom, Sandalwood EDP",Rp 975.000,,"
        3 sizes
      "
Kayali,Oudgasm Vanilla Oud | 16 Eau de Parfum Intense ,Rp 690.000,"
        (28)
      ",
MCM,Compact Mini Set 4 x 7ML EDP,Rp 1.150.000,"
        (1)
      ",
Bon Parfumeur,"303 Chilly Pepper, Pink Berry, Benzoin EDP",Rp 1.400.000,,"
        2 sizes
      "
HERMÈS,Tutti Twilly d'Hermes Eau De Parfum,Rp 1.385.000,"
        (184)
      ","
        3 sizes
      "
Bon Parfumeur,"702 Incense, Lavender, Cashmere wood EDP",Rp 975.000,,"
        3 sizes
      "
Chloé,Atelier Des Fleurs Tuberosa 1974 Eau De Parfum,Rp 3.800.000,"
        (2)
      ",
MCM,Ultra Eau de Parfum Necklace Set,Rp 1.280.000,,
Armani Beauty,Acqua Di Giò Profondo Parfum,Rp 2.720.000,"
        (18)
      ","
        2 sizes
      "
Armani Beauty,Gardénia Antigua Eau De Toilette,Rp 3.900.000,"
        (1)
      ",
Marc Jacobs Fragrances,Daisy Pop Eau De Toilette (Limited Edition),Rp 1.520.000,"
        (207)
      ",
Bon Parfumeur,"401 Cedar, Candied Plum, Vanilla EDP",Rp 975.000,"
        (15)
      ","
        3 sizes
      "
Chloé,Atelier Des Fleurs Lavanda Eau de Parfum,Rp 2.430.000,"
        (10)
      ","
        2 sizes
      "
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Bon Parfumeur,"901 Nutmeg, Almond, Patchouli EDP",Rp 975.000,"
        (1)
      ","
        3 sizes
      "
Versace,Yellow Diamond Pour Femme Eau de Toilette,Rp 345.000,"
        (11)
      ",
Bon Parfumeur,"501 Praline, Licorice, Patchouli EDP",Rp 975.000,"
        (13)
      ","
        3 sizes
      "
Carolina Herrera,212 VIP Rose Elixir Eau De Parfume,Rp 2.170.000,"
        (9)
      ",
Chloé,Atelier Des Fleurs Vanilla Planifolia Eau De Parfum,Rp 3.800.000,"
        (12)
      ","
        2 sizes
      "
Dolce&Gabbana,Q by Dolce&Gabbana Eau de Parfum Intense,Rp 2.950.000,"
        (5)
      ","
        3 sizes
      "
Armani Beauty,Prive Magenta Tanzanite Eau De Parfum,Rp 5.550.000,,
Michael Kors,Pour Homme Gift Set,Rp 2.246.200,,
DIOR,Miss Dior Parfum Mini Miss Solid Perfume Alcohol-Free Fragrance Stick,Rp 1.800.000,"
        (406)
      ",
Narciso Rodriguez,For Her Pure Musc Christmas Giftset 2024,Rp 2.980.000,,
Armani Beauty,Prive The Yulong Nacre Eau de Toilette,Rp 3.900.000,,
Armani Beauty,Pivoine Suzhou Eau De Toilette,Rp 3.900.000,"
        (1)
      ",
Kayali,Fleur Majesty Rose Royale | 31 Eau De Parfum,Rp 650.000,"
        (689)
      ","
        3 types
      "
Ferragamo,Signorina Unica Eau De Parfum,Rp 2.350.000,,"
        3 sizes
      "
Armani Beauty,Rouge Malachite Eau De Parfum,Rp 5.550.000,,
Armani Beauty,Pivoine Suzhou Soie de Nacre Eau De Toilette,Rp 3.900.000,"
        (1)
      ",
Tom Ford Beauty,Soleil Neige Eau De Parfum,Rp 3.550.000,"
        (925)
      ","
        2 sizes
      "
Jean Paul Gaultier,La Belle Eau De Parfum,Rp 2.050.000,"
        (3)
      ",
Kayali,Marrakesh In A Bottle Orange Blossom | 24 Eau De Parfum,Rp 2.115.000,"
        (257)
      ",
Kate Spade,Travel Spray Set Mini (Holiday Limited Edition),Rp 800.000,"
        (5)
      ",
Rabanne,Phantom Eau De Parfum Intense,Rp 2.040.000,"
        (119)
      ","
        2 sizes
      "
Marc Jacobs Fragrances,Daisy Eau De Toilette Spring Gift Set (Limited Edition),Rp 2.180.000,"
        (6)
      ",
Bon Parfumeur,"102 Tea, Cardamom, Mimosa EDP",Rp 975.000,"
        (1)
      ","
        3 sizes
      "
Jo Malone London,English Pear & Sweet Pea Cologne,Rp 1.450.000,"
        (407)
      ","
        3 sizes
      "
Coach,New York Green Eau De Toilette,Rp 840.000,"
        (32)
      ","
        3 sizes
      "
Issey Miyake,L'Eau d'Issey pour Homme Solar Lavender,Rp 2.200.000,,"
        2 sizes
      "
HERMÈS,H24 Herbes Vives Eau De Parfum,Rp 2.595.000,"
        (174)
      ","
        2 sizes
      "
Jo Malone London,Hinoki & Cedarwood Cologne Intense,Rp 2.815.000,"
        (202)
      ","
        3 sizes
      "
Marc Jacobs Fragrances,Daisy Wild Eau De Parfum,Rp 2.280.000,"
        (666)
      ","
        4 sizes
      "
Tiffany & Co.,Rose Gold Intense Eau de Parfum,Rp 2.180.000,"
        (10)
      ","
        2 sizes
      "
Bon Parfumeur,"402 Vanilla, Caramel, Sandalwood EDP",Rp 975.000,"
        (1)
      ","
        3 sizes
      "
Chloé,Atelier Des Fleurs Néroli Eau de Parfum,Rp 3.800.000,"
        (8)
      ","
        2 sizes
      "
Armani Beauty,Bleu Turquoise Eau De Parfum,Rp 5.550.000,,
Moncler,Pour Femme Eau De Parfum,Rp 3.170.000,"
        (3)
      ","
        2 sizes
      "
Lancôme,Idôle L'Eau De Toilette,Rp 1.820.000,"
        (8)
      ",
Armani Beauty,Rose D'arabie Eau De Parfum Intense,Rp 5.550.000,"
        (1)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Carolina Herrera,Very Good Girl Elixir,Rp 2.600.000,"
        (243)
      ","
        4 sizes
      "
Kayali,Fleur Majesty Rose Royale | 31 Eau De Parfum,Rp 650.000,"
        (689)
      ","
        3 types
      "
Rabanne,Olympea Flora Eau De Parfum Intense,Rp 2.200.000,"
        (2)
      ",
Chloé,Atelier des Fleurs Orchidée de Minuit Eau De Parfum,Rp 2.500.000,,"
        2 sizes
      "
Chloé,Atelier Des Fleurs Eau De Parfum Spring Discovery Set,Rp 3.500.000,,
Tom Ford Beauty,Soleil Neige Eau De Parfum,Rp 3.550.000,"
        (925)
      ","
        2 sizes
      "
Jean Paul Gaultier,La Belle Eau De Parfum,Rp 2.050.000,"
        (3)
      ",
HUGO BOSS,Boss Bottled Absolu,Rp 2.500.000,"
        (4)
      ",
Narciso Rodriguez,For Her Eau De Parfum Intense,Rp 1.750.000,,"
        3 sizes
      "
Jimmy Choo,I Want Choo Le Parfum,Rp 2.825.000,"
        (15)
      ",
Rabanne,1 Million Eau De Toilette Gift Set (Holiday Limited Edition),Rp 1.950.000,"
        (5)
      ",
Burberry Beauty,Burberry Women's - Burberry Her Eau De Parfum Gift Set,Rp 3.300.000,,
Jean Paul Gaultier,Scandal Absolu Pour Homme Parfum Concentré,Rp 2.300.000,"
        (2)
      ",
Kate Spade,Chérie Je T'Aime Eau De Parfum,Rp 2.000.000,,"
        2 sizes
      "
Versace,Dylan Blue Pour Femme Ovetto Eau De Parfum,Rp 420.000,"
        (361)
      ",
Narciso Rodriguez,For Her Musc Nude EDP XMAS Set 2024,Rp 2.980.000,,
Kayali,Yum Mini Duo (Limited Edition),Rp 590.000,"
        (1)
      ",
BVLGARI,Omnia Amethyste EDT Spring 2025 Gift Set,Rp 2.810.000,,
MCM,MCM Collection Darling Doxie,Rp 2.680.000,,
Gucci Beauty,Gucci Bloom Parfum,Rp 3.650.000,"
        (454)
      ","
        4 sizes
      "
Kayali,Marrakesh In A Bottle Orange Blossom | 24 Eau De Parfum,Rp 2.115.000,"
        (257)
      ",
Gucci Beauty,Gucci Love Edition Guilty Eau De Parfum Pour Homme (Limited Edition),Rp 2.700.000,"
        (337)
      ",
Kate Spade,Travel Spray Set Mini (Holiday Limited Edition),Rp 800.000,"
        (5)
      ",
Burberry Beauty,Hero Eau De Parfum Gift Set (Limited Edition),Rp 2.550.000,,
Rabanne,Million Gold Eau De Parfum Intense,Rp 1.600.000,"
        (146)
      ","
        2 sizes
      "
Tom Ford Beauty,Tuscan Leather Eau De Parfum,Rp 5.490.000,"
        (567)
      ",
Tom Ford Beauty,Café Rose Eau De Parfum,Rp 2.050.000,"
        (555)
      ",
MCM,MCM Collection Zen Elephant,Rp 2.680.000,,
Marc Jacobs Fragrances,Perfect Eau De Parfum Gift Set (Limited Edition),Rp 2.209.000,,
Marc Jacobs Fragrances,Daisy Love Eau De Toilette Gift Set (Limited Edition),Rp 2.209.000,,
NUXE,Huile Prodigieuse Florale,Rp 895.000,"
        (46)
      ",
Moschino,Toy 2 Eau De Parfum Set (Holiday Limited Edition),Rp 1.832.400,,
Marc Jacobs Fragrances,Daisy Eau So Fresh Spring Set,Rp 2.664.000,"
        (1)
      ",
Yves Saint Laurent,Libre Eau De Parfum Intense,Rp 3.400.000,"
        (733)
      ","
        2 sizes
      "
Yves Saint Laurent,LIBRE Florale & Flames Eau De Parfume,Rp 3.400.000,"
        (1740)
      ","
        2 sizes
      "
Yves Saint Laurent,Black Opium Le Parfum,Rp 3.525.000,"
        (1127)
      ",
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Yves Saint Laurent,Libre L'Eau Nue Parfum De Peau,Rp 2.900.000,"
        (893)
      ",
Coach,Floral Eau de Parfum,Rp 1.460.000,"
        (199)
      ","
        2 sizes
      "
DIOR,J'adore Eau de toilette,Rp 2.000.000,"
        (192)
      ","
        3 sizes
      "
Coach,For Man Eau de Toilette,Rp 1.600.000,"
        (137)
      ","
        2 sizes
      "
Burberry Beauty,Her London Dream Eau de Parfum,Rp 2.120.000,"
        (438)
      ","
        2 sizes
      "
Juliette Has a Gun,Another Oud Eau De Parfum,Rp 2.425.000,"
        (40)
      ",
Juliette Has a Gun,Lady Vengeance Eau De Parfum,Rp 1.945.000,"
        (108)
      ","
        2 sizes
      "
Ferragamo,Signorina Ribelle Eau de Parfum,Rp 2.350.000,"
        (10)
      ","
        2 sizes
      "
Ferragamo,Uomo Signature Eau de Parfum,Rp 1.950.000,"
        (1)
      ",
GIVENCHY,L'Interdit Eau de Toilette,Rp 2.150.000,"
        (17)
      ","
        3 sizes
      "
GUERLAIN,Aqua Allegoria Orange Soleia Eau De Toilette,Rp 2.061.000,"
        (26)
      ",
HERMÈS,Un Jardin Sur La Lagune Eau de Toilette,Rp 2.655.000,"
        (56)
      ","
        3 sizes
      "
Juliette Has a Gun,Moscow Mule Eau De Parfum,Rp 2.780.000,"
        (160)
      ",
GUERLAIN,Aqua Allegoria Granada Salvia Eau De Toilette,Rp 2.061.000,"
        (6)
      ",
GUERLAIN,Aqua Allegoria Rosa Rossa Eau De Toilette,Rp 2.061.000,"
        (106)
      ",
Juliette Has a Gun,Sunny Side Up Eau De Parfum,Rp 2.780.000,"
        (107)
      ","
        2 sizes
      "
Dolce&Gabbana,K by Dolce & Gabbana Eau de Parfum,Rp 2.000.000,"
        (22)
      ",
BVLGARI,Omnia Amethyste Eau de Toilette,Rp 2.980.000,"
        (32)
      ","
        3 types
      "
HERMÈS,Jour d'Hermes Eau de Parfum,Rp 1.555.000,"
        (69)
      ","
        4 sizes
      "
HUGO BOSS,Boss Bottled Tonic Eau De Toilette,Rp 1.800.000,"
        (38)
      ",
HUGO BOSS,Boss Bottled Unlimited Eau De Toilette,Rp 2.000.000,"
        (8)
      ",
GUERLAIN,Aqua Allegoria Herba Fresca Eau De Toilette,Rp 2.061.000,"
        (4)
      ",
HUGO BOSS,Boss Bottled Eau De Toilette,Rp 2.000.000,"
        (73)
      ",
OUAI,Melrose Place Eau de Parfum,Rp 1.398.000,"
        (615)
      ","
        2 sizes
      "
Dolce&Gabbana,Light Blue Pour Homme Eau Intense,Rp 1.580.000,"
        (48)
      ",
HUGO BOSS,Boss The Scent For Her Eau De Parfum,Rp 2.600.000,"
        (14)
      ",
GIVENCHY,Irresistible Eau De Toilette,Rp 1.825.000,"
        (409)
      ","
        3 sizes
      "
Ferragamo,Savane Di Seta Eau De Parfum,Rp 1.900.000,"
        (1)
      ","
        2 sizes
      "
DIOR,Miss Dior Eau de Parfum Roller Pearl,Rp 1.250.000,"
        (100)
      ",
Coach,Blue Eau De Toilette,Rp 1.210.000,"
        (32)
      ","
        3 sizes
      "
Narciso Rodriguez,For Her Musc Noir Rose Eau De Parfum,Rp 3.050.000,"
        (36)
      ","
        3 sizes
      "
Narciso Rodriguez,For Her Pure Musc Eau De Parfum,Rp 3.050.000,"
        (67)
      ",
Juliette Has a Gun,Not A Perfume Superdose Eau De Parfum,Rp 3.175.000,"
        (201)
      ",
Dolce&Gabbana,The One For Men Gold Eau de Parfum Intense,Rp 2.150.000,"
        (1)
      ",
Jimmy Choo,Illicit Eau De Parfum,Rp 2.180.000,,
GIVENCHY,Gentleman Society Eau De Parfum,Rp 1.785.000,"
        (28)
      ","
        2 sizes
      "
MCM,MCM Collection Jolly Rabbit,Rp 2.680.000,,
Armani Beauty,Stronger With You Intensely Pour Homme Eau De Parfum,Rp 2.250.000,,
Armani Beauty,ARMANI MY WAY CHIC SUMMER MOMENTS SET,Rp 2.850.000,,
Armani Beauty,Si Eau De Parfum,Rp 2.990.000,,
Armani Beauty,Acqua Di Giò Parfum,Rp 1.700.000,,
Armani Beauty,Stronger With You Parfum,Rp 2.485.000,,
Armani Beauty,My Way Le Parfum,Rp 2.255.000,,
Ferragamo,FIAMMA,Rp 1.380.000,,
Rabanne,Lady Million Eau De Parfum,Rp 2.000.000,"
        (408)
      ","
        2 sizes
      "
FRESH,Hesperides Grapefruit Eau de Parfum,Rp 1.950.000,"
        (1)
      ","
        3 sizes
      "
Narciso Rodriguez,Narciso Cristal Eau De Parfum,Rp 3.000.000,"
        (12)
      ","
        2 sizes
      "
Moschino,Fresh Pink Couture Eau de Toilette,Rp 1.561.000,"
        (33)
      ",
HUGO BOSS,Boss The Scent Le Parfum For Her,Rp 2.300.000,"
        (9)
      ",
L'Atelier Parfum,Verte Euphorie,Rp 699.000,"
        (12)
      ","
        3 sizes
      "
Rabanne,Invictus Eau De Toilette,Rp 1.709.400,"
        (200)
      ","
        2 sizes
      "
L'Atelier Parfum,Belle Joueuse,Rp 699.000,"
        (9)
      ","
        3 sizes
      "
Chloé,Rose Naturelle Eau De Parfum Intense,Rp 3.652.000,,"
        3 sizes
      "
Jimmy Choo,Man Intense Eau De Toilette,Rp 1.470.000,,"
        2 sizes
      "
Michael Kors,Wonderlust Eau De Parfum Spray,Rp 961.000,"
        (3)
      ","
        3 sizes
      "
Kate Spade,New York Eau De Parfum,Rp 1.080.000,"
        (82)
      ","
        2 sizes
      "
Jo Malone London,Peony & Blush Suede And Wood Sage & Sea Salt Cologne Miniature Duo,Rp 865.000,"
        (150)
      ",
Kate Spade,New York Sparkle Eau De Parfum Intense,Rp 2.180.000,"
        (42)
      ",
Dolce&Gabbana,Q By Dolce & Gabbana Eau De Parfum,Rp 2.660.000,"
        (30)
      ","
        3 sizes
      "
Jimmy Choo,Amber Kiss Eau De Parfum,Rp 4.050.000,,
Chloé,Nomade Jasmin Naturel Intense Eau de Parfum Intense,Rp 2.531.000,"
        (3)
      ","
        2 sizes
      "
BVLGARI,Rose Goldea Blossom Delight Hair Mist,Rp 950.000,"
        (17)
      ",
Dolce&Gabbana,Dolce Violet Eau De Toilette,Rp 1.760.000,"
        (116)
      ","
        3 sizes
      "
Jo Malone London,Men's Cologne Collection,Rp 2.450.000,"
        (1)
      ",
Coach,New York Open Road Eau De Toilette,Rp 840.000,"
        (37)
      ","
        3 sizes
      "
Juliette Has a Gun,Ego Stratis Eau De Parfum,Rp 2.780.000,"
        (3)
      ","
        2 sizes
      "
Jimmy Choo,I Want Oud Eau De Parfum,Rp 4.050.000,,
FRESH,Lily Jasmine Eau De Parfum,Rp 1.080.000,"
        (51)
      ","
        3 sizes
      "
BVLGARI,Omnia Crystalline Eau De Toilette,Rp 2.980.000,"
        (11)
      ",
GIVENCHY,L'Interdit Eau De Parfum Rouge Ultime,Rp 1.690.000,"
        (20)
      ","
        3 sizes
      "
Bon Parfumeur,"201 Green Apple, Lily Of The Valley, Quince EDP",Rp 975.000,"
        (5)
      ","
        3 sizes
      "
Bon Parfumeur,"001 Orange Blossom, Petite Grain, Bergamot EDP",Rp 975.000,"
        (7)
      ","
        3 sizes
      "
Dolce&Gabbana,The Only One Exclusive Gift Set,Rp 2.600.000,,
Bon Parfumeur,"202 Watermelon, Red Currant, Jasmine EDP",Rp 975.000,"
        (9)
      ","
        3 sizes
      "
Dolce&Gabbana,Devotion Eau De Parfum,Rp 2.690.000,"
        (360)
      ","
        4 sizes
      "
Kayali,Eden Sparkling Lychee 39 Eau De Parfum,Rp 2.650.000,"
        (987)
      ","
        3 sizes
      "
Kayali,Lovefest Burning Cherry | 48 Eau de Parfum,Rp 1.980.000,"
        (1011)
      ","
        2 sizes
      "
L'Atelier Parfum,Arme Blanche,Rp 699.000,"
        (21)
      ","
        3 sizes
      "
Burberry Beauty,Hero Parfum,Rp 3.294.000,"
        (563)
      ","
        2 sizes
      "
Jo Malone London,Cypress & Grapevine Cologne Intense,Rp 575.000,"
        (164)
      ","
        3 sizes
      "
